date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
6/20/23,5,std,,,,,6:20 PM,37,1,400,,,,
6/20/23,5,std,,,,,6:21 PM,35,1,400,,,,
6/20/23,5,std,,,,,6:22 PM,37,1,400,,,,
6/20/23,5,std,,,,,6:23 PM,76,1,1000,,,,
6/20/23,5,std,,,,,6:23 PM,78,1,1000,,,,
6/20/23,5,std,,,,,6:24 PM,78,1,1000,,,,
6/20/23,5,std,,,,,6:25 PM,183,1,2500,,,,
6/20/23,5,std,,,,,6:26 PM,205,1,2500,,,,
6/20/23,5,std,,,,,6:27 PM,208,1,2500,,,,
6/20/23,5,std,,,,,6:28 PM,205,1,2500,,,,
6/20/23,5,std,,,,,6:29 PM,412,1,5000,,,,
6/20/23,5,std,,,,,6:30 PM,411,1,5000,,,,
6/20/23,5,std,,,,,6:31 PM,419,1,5000,,,,
6/20/23,5,L-2022,,,,,6:32 PM,713,,,,,,
6/20/23,5,L-2023,,,,,6:33 PM,1428,,,,,,
6/20/23,5,B-2024,,,,,6:34 PM,560,,,,,,
6/20/23,5,B-2025,,,,,6:34 PM,923,,,,,,
6/20/23,5,B-2026,,,,,6:35 PM,1325,,,,,,
6/20/23,5,B-2027,,,,,6:36 PM,328,,,,,,
6/20/23,5,B-2028,,,,,6:37 PM,1062,,,,,,
6/20/23,5,L-2029,,,,,6:38 PM,638,,,,,,
6/20/23,5,L-2030,,,,,6:39 PM,1005,,,,,,
6/20/23,5,B-2031,,,,,6:40 PM,269,,,,,,
6/20/23,5,B-2086,,,,,6:42 PM,400,,,,,,"missed the peak, was definily above 400"
6/20/23,5,B-2087,,,,,6:43 PM,1270,,,,,,
6/20/23,5,B-2088,,,,,6:44 PM,1503,,,,,,
6/20/23,5,B-2089,,,,,6:44 PM,1531,,,,,,
6/20/23,5,L-2091,,,,,6:45 PM,712,,,,,,
6/20/23,5,L-2092,,,,,6:46 PM,813,,,,,,
6/20/23,5,L-2093,,,,,6:47 PM,839,,,,,,
6/20/23,5,L-2345,,,,,6:48 PM,1060,,,,,,
6/20/23,5,L-2354,,,,,6:49 PM,1773,,,,,,
6/20/23,5,B-2375,,,,,6:50 PM,1072,,,,,,
6/20/23,5,B-2379,,,,,6:51 PM,1384,,,,,,
6/20/23,5,B-2379,,,,,6:52 PM,1337,,,,,,duplicate check
6/20/23,5,L-2380,,,,,6:53 PM,1030,,,,,,
6/20/23,5,B-2381,,,,,6:54 PM,1409,,,,,,
6/20/23,5,L-M01,,,,,6:55 PM,991,,,,,,
6/20/23,5,B-M02,,,,,6:56 PM,1148,,,,,,
6/20/23,5,L-M03,,,,,6:57 PM,1797,,,,,,
6/20/23,5,L-M04,,,,,6:58 PM,1602,,,,,,
6/20/23,5,L-M05,,,,,6:59 PM,1568,,,,,,
6/20/23,5,B-M07,,,,,7:00 PM,1045,,,,,,
