date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
3/22/2022,5,std,,,,,1:15:00 PM,31,1,400,,,,
3/22/2022,5,std,,,,,1:17 PM,30,1,400,,,,
3/22/2022,5,std,,,,,1:18 PM,26,1,400,,,,
3/22/2022,5,std,,,,,1:20 PM,34,1,400,,,,
3/22/2022,5,std,,,,,1:23 PM,87,1,1000,,,,
3/22/2022,5,std,,,,,1:24 PM,83,1,1000,,,,
3/22/2022,5,std,,,,,1:25 PM,94,1,1000,,,,
3/22/2022,5,std,,,,,1:26 PM,191,1,2500,,,,
3/22/2022,5,std,,,,,1:27 PM,195,1,2500,,,,
3/22/2022,5,std,,,,,1:28 PM,195,1,2500,,,,
3/22/2022,5,std,,,,,1:29 PM,302,1,5000,,,,
3/22/2022,5,std,,,,,1:30 PM,327,1,5000,,,,
3/22/2022,5,std,,,,,1:30 PM,314,1,5000,,,,
,5,LL-3.17.22-T2-0,,,,,1:48 PM,52,,,,,,
,5,LL-3.17.22-T1-50,,,,,1:49 PM,55,,,,,,
,5,LL-3.17.22-T1-25,,,,,1:50 PM,54,,,,,,
,5,LL-3.17.22-T1-0,,,,,1:51 PM,64,,,,,,
,5,LL-3.17.22-T2-25,,,,,1:55 PM,54,,,,,,
,5,LL-3.17.22-T2-50,,,,,2:05 PM,71,,,,,,
,5,LL-3.17.22-T3-0,,,,,2:08 PM,74,,,,,,
,5,LL-3.17.22-T3-25,,,,,2:11 PM,64,,,,,,
,5,LL-3.17.22-T3-50,,,,,2:14 PM,67,,,,,,
,5,LL-3.17.22-T3-75,,,,,2:17 PM,46,,,,,,
,5,LL-3.17-22-T4-0,,,,,2:23 PM,65,,,,,,
,5,LL-3.17.22-T4-25,,,,,2:25 PM,61,,,,,,
,5,LL-3.14.22-T4-50,,,,,2:29 PM,43,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
